time,begins at 1986 00h00 (1986-2015)
31-12-12 23:42,0.985
1-01-13 0:42,0.892
1-01-13 1:42,0.711
1-01-13 2:42,0.527
1-01-13 3:42,0.364
1-01-13 4:42,0.282
1-01-13 5:42,0.244
1-01-13 6:42,0.333
1-01-13 7:42,0.452
1-01-13 8:42,0.53
1-01-13 9:42,0.559
1-01-13 10:42,0.571
1-01-13 11:42,0.589
1-01-13 12:42,0.655
1-01-13 13:42,0.67
1-01-13 14:42,0.65
1-01-13 15:42,0.654
1-01-13 16:42,0.694
1-01-13 17:42,0.738
1-01-13 18:42,0.76
1-01-13 19:42,0.762
1-01-13 20:42,0.767
1-01-13 21:42,0.758
1-01-13 22:42,0.745
1-01-13 23:42,0.677
2-01-13 0:42,0.585
2-01-13 1:42,0.493
2-01-13 2:42,0.415
2-01-13 3:42,0.355
2-01-13 4:42,0.299
2-01-13 5:42,0.226
2-01-13 6:42,0.16
2-01-13 7:42,0.126
2-01-13 8:42,0.132
2-01-13 9:42,0.144
2-01-13 10:42,0.173
2-01-13 11:42,0.236
2-01-13 12:42,0.332
2-01-13 13:42,0.508
2-01-13 14:42,0.615
2-01-13 15:42,0.699
2-01-13 16:42,0.724
2-01-13 17:42,0.72
2-01-13 18:42,0.722
2-01-13 19:42,0.73
2-01-13 20:42,0.768
2-01-13 21:42,0.742
2-01-13 22:42,0.716
2-01-13 23:42,0.669
3-01-13 0:42,0.614
3-01-13 1:42,0.538
3-01-13 2:42,0.504
3-01-13 3:42,0.498
3-01-13 4:42,0.505
3-01-13 5:42,0.522
3-01-13 6:42,0.52
3-01-13 7:42,0.537
3-01-13 8:42,0.561
3-01-13 9:42,0.545
3-01-13 10:42,0.495
3-01-13 11:42,0.452
3-01-13 12:42,0.421
3-01-13 13:42,0.333
3-01-13 14:42,0.309
3-01-13 15:42,0.317
3-01-13 16:42,0.335
3-01-13 17:42,0.345
3-01-13 18:42,0.357
3-01-13 19:42,0.389
3-01-13 20:42,0.413
3-01-13 21:42,0.414
3-01-13 22:42,0.405
3-01-13 23:42,0.393
4-01-13 0:42,0.388
4-01-13 1:42,0.385
4-01-13 2:42,0.374
4-01-13 3:42,0.371
4-01-13 4:42,0.373
4-01-13 5:42,0.374
4-01-13 6:42,0.389
4-01-13 7:42,0.396
4-01-13 8:42,0.362
4-01-13 9:42,0.266
4-01-13 10:42,0.242
4-01-13 11:42,0.25
4-01-13 12:42,0.252
4-01-13 13:42,0.247
4-01-13 14:42,0.246
4-01-13 15:42,0.257
4-01-13 16:42,0.29
4-01-13 17:42,0.298
4-01-13 18:42,0.28
4-01-13 19:42,0.235
4-01-13 20:42,0.24
4-01-13 21:42,0.261
4-01-13 22:42,0.257
4-01-13 23:42,0.225
5-01-13 0:42,0.175
5-01-13 1:42,0.115
5-01-13 2:42,0.072
5-01-13 3:42,0.056
5-01-13 4:42,0.055
5-01-13 5:42,0.065
5-01-13 6:42,0.087
5-01-13 7:42,0.122
5-01-13 8:42,0.141
5-01-13 9:42,0.126
5-01-13 10:42,0.097
5-01-13 11:42,0.058
5-01-13 12:42,0.025
5-01-13 13:42,0.009
5-01-13 14:42,0.005
5-01-13 15:42,0.009
5-01-13 16:42,0.034
5-01-13 17:42,0.074
5-01-13 18:42,0.11
5-01-13 19:42,0.12
5-01-13 20:42,0.156
5-01-13 21:42,0.171
5-01-13 22:42,0.194
5-01-13 23:42,0.267
6-01-13 0:42,0.341
